# LeakReport
# from new @ |      size  # Pointer Addr
L 0x3b2ba7b3ba         128  # 0x136de10
L 0x3b2ba771d4          40  # 0x136d590
L 0x3b2ba79a84         192  # 0x136dec0
L 0x3b2ba771d4          40  # 0x136df90
L 0x3b2ba78994           8  # 0x136f1d0
L 0x3b2ba7c97e          96  # 0x136dfd0
L 0x3b2ba7b3dc          16  # 0x136dea0
L 0x3b2ba771d4          40  # 0x13996f0
L 0x3b2bb71802          96  # 0x1387d90
L 0x3b2ba771d4          40  # 0x1399a70
L 0x3b2bb71802          96  # 0x1370d40
L 0x7ff7b00b6312          24  # 0x13d7730
L 0x3b2bba07b2         136  # 0x13d5590
L 0x3b2bb71802          96  # 0x13e4db0
L 0x3b2bba07b2         136  # 0x13e6110
L 0x3b2bb71802          96  # 0x13d8220
L 0x3b2ba771d4          40  # 0x136f1f0
L 0x3b2ba78994           8  # 0x14524b0
L 0x3b2ba78994           8  # 0x14508f0
L 0x3b2ba78994           8  # 0x1444380
L 0x3b2ba771d4          40  # 0x14533c0
L 0x3b2ba771d4          40  # 0x1453cf0
L 0x3b2ba771d4          40  # 0x14532b0
L 0x3b2ba771d4          40  # 0x1452f00
L 0x3b2ba78994           8  # 0x14546f0
L 0x3b2ba78994           8  # 0x1454640
L 0x3b2ba78994           8  # 0x14547a0
L 0x3b2ba78994           8  # 0x1456aa0
L 0x3b2ba771d4          40  # 0x1454e20
L 0x3b2ba771d4          40  # 0x1453f20
L 0x3b2ba78994           8  # 0x1457de0
L 0x3b2ba78994           8  # 0x14587e0
L 0x3b2ba78994           8  # 0x1458530
L 0x3b2ba78994           8  # 0x14589e0
L 0x3b2ba78994           8  # 0x1458c30
L 0x3b2ba771d4          40  # 0x1458c50
L 0x3b2ba771d4          40  # 0x1458a00
L 0x3b2ba771d4          40  # 0x1458800
L 0x3b2ba78994           8  # 0x1459150
L 0x3b2ba78994           8  # 0x14593a0
L 0x3b2ba771d4          40  # 0x1459170
L 0x3b2ba771d4          40  # 0x1458f50
L 0x3b2bb9a191        1080  # 0x1457190
L 0x7ff7b0d7fd72          24  # 0x1425ef0
L 0x3b2ba78994           8  # 0x1459840
L 0x3b2ba78994           8  # 0x1460b20
L 0x3b2ba771d4          40  # 0x1459860
L 0x3b2ba771d4          40  # 0x1459610
L 0x3b2ba78994           8  # 0x14595f0
L 0x3b2ba78994           8  # 0x1461240
L 0x3b2ba771d4          40  # 0x1473480
L 0x3b2ba78994           8  # 0x1465080
L 0x3b2ba771d4          40  # 0x1473770
L 0x3b2ba771d4          40  # 0x14734c0
L 0x3b2ba78994           8  # 0x1462800
L 0x3b2ba771d4          40  # 0x14746e0
L 0x3b2ba78994           8  # 0x1474720
L 0x3b2ba771d4          40  # 0x1474000
L 0x3b2ba78994           8  # 0x1460b80
L 0x3b2ba771d4          40  # 0x14593c0
L 0x3b2ba78994           8  # 0x148b950
L 0x3b2ba771d4          40  # 0x1499480
L 0x3b2ba771d4          40  # 0x147f750
L 0x3b2ba771d4          40  # 0x1518ac0
L 0x3b2ba78994           8  # 0x14f0970
L 0x3b2ba771d4          40  # 0x1519750
L 0x3b2ba78994           8  # 0x14e7640
L 0x3b2ba78994           8  # 0x1519790
L 0x3b2ba771d4          40  # 0x147e000
# total allocation requests: 124798 ; max. mem used 351 kBytes
# leak   5208 Bytes	:-(
WORK TIME - 00:01:28.25
